Name,Link,Phone No,Contact Address
Pullman Phuket Panwa Beach Resort,http://PULLMANHOTEL.COM - ACCORHOTELS.COM,+66 76 602 500  (p) +66 76 602 555  (f),"44/5 Moo 8 Sakdidesh Road, Vichit, Muang, Phuket, 83000 Thailand Phuket 83000 Thailand"
PULLMAN ZAMZAM ,http://www.pullmanhotels.com,+966 1 25715555  (p) +966 1 25715999  (f),Abraj Al Bait Complex King Abdel Aziz Endowment Makkah 21955 Saudi Arabia
PULLMAN ZAMZAM MADINA,http://www.pullmanhotels.com/,+966 148210500  (p) +966 148211889  (f),Amr Bin Al Gmoh Street Madina PO Box 40233 Madina Madina 41499 Saudi Arabia
"Punnamada Resort & House Boats, Alleppey, Kerala",http://www.punnamada.com ,+91 9447892000  (p) +91 4772233694  (f),"Punnamada Back Water Resort Punnamada - Alleppey, Kerala - 688006 India"
Puratech Solutions India Pvt. Ltd.,http://www.puratech.co.in,+91 9820140434  (p),"B 202, Antophill Warehousing Complex, Wadala East Mumbai 400037 India"
PURE MOROCCO,http://www.puremoroccotours.com,+212 537699090  (p) +212 537699092  (f),"Avenue Hassan II, Résidence Hassan II Imm B, N°3 RABAT Morocco"
Pure Seychelles Hotels,,+248 2512798  (p) +248 4321293  (f),Anse Gouvernement PO Box 1436 Victoria Seychelles
Qatar Airways,http://www.qatarairways.com,+971 44621717  (p) +974 4621566  (f),Al Mana Tower PO Box 22550 Doha ***UPDATE Qatar
Qatar International Adventures,http://www.qia-qatar.com,+974 44553954  (p) +974 44653461  (f),"Al Rawabi Street Muntazah Area Building 16, 1st floor, Office 8 Doha 55733 Qatar"
Qatar Tourism Authority,http://www.qatartourism.gov.qa,+974 44998262  (p) +974 44998077  (f),PO Box 24624 c/o Doha Exhibitions Center West Bay Area Doha Qatar
Qawafil International Company for Tourism Services ,http://www.qawafil.co/,+966 25916201  (p) +966 25916220  (f),Alkhwaghat road Alshumaisy Makkah almukaramah Saudi Arabia
